numberOfAgents;gridSize;logic;viewDistanz;viewAngle;stepsPerTime;seed;factorDistance;factorSize
1;30;RandomWalkRobot;1;90;1;1;0.5;0.5
1;30;RandomWalkRobot;1;90;1;2;0.5;0.5
1;30;RandomWalkRobot;1;90;1;3;0.5;0.5
1;30;RandomWalkRobot;1;90;1;4;0.5;0.5
1;30;RandomWalkRobot;1;90;1;5;0.5;0.5
1;30;RandomWalkRobot;1;90;1;6;0.5;0.5
1;30;RandomWalkRobot;1;90;1;7;0.5;0.5
1;30;RandomWalkRobot;1;90;1;8;0.5;0.5
1;30;RandomWalkRobot;1;90;1;9;0.5;0.5
1;30;RandomWalkRobot;1;90;1;10;0.5;0.5
1;30;RandomWalkRobot;1;90;1;11;0.5;0.5
1;30;RandomWalkRobot;1;90;1;12;0.5;0.5
1;30;RandomWalkRobot;1;90;1;13;0.5;0.5
1;30;RandomWalkRobot;1;90;1;14;0.5;0.5
1;30;RandomWalkRobot;1;90;1;15;0.5;0.5
1;30;RandomWalkRobot;1;90;1;16;0.5;0.5
1;30;RandomWalkRobot;1;90;1;17;0.5;0.5
1;30;RandomWalkRobot;1;90;1;18;0.5;0.5
1;30;RandomWalkRobot;1;90;1;19;0.5;0.5
1;30;RandomWalkRobot;1;90;1;20;0.5;0.5
1;30;RandomWalkRobot;1;90;1;21;0.5;0.5
1;30;RandomWalkRobot;1;90;1;22;0.5;0.5
1;30;RandomWalkRobot;1;90;1;23;0.5;0.5
1;30;RandomWalkRobot;1;90;1;24;0.5;0.5
1;30;RandomWalkRobot;1;90;1;25;0.5;0.5
1;30;RandomWalkRobot;1;90;1;26;0.5;0.5
1;30;RandomWalkRobot;1;90;1;27;0.5;0.5
1;30;RandomWalkRobot;1;90;1;28;0.5;0.5
1;30;RandomWalkRobot;1;90;1;29;0.5;0.5
1;30;RandomWalkRobot;1;90;1;30;0.5;0.5
1;30;RandomWalkRobot;1;90;1;31;0.5;0.5
1;30;RandomWalkRobot;1;90;1;32;0.5;0.5
1;30;RandomWalkRobot;1;90;1;33;0.5;0.5
1;30;RandomWalkRobot;1;90;1;34;0.5;0.5
1;30;RandomWalkRobot;1;90;1;35;0.5;0.5
1;30;RandomWalkRobot;1;90;1;36;0.5;0.5
1;30;RandomWalkRobot;1;90;1;37;0.5;0.5
1;30;RandomWalkRobot;1;90;1;38;0.5;0.5
1;30;RandomWalkRobot;1;90;1;39;0.5;0.5
1;30;RandomWalkRobot;1;90;1;40;0.5;0.5
1;30;RandomWalkRobot;1;90;1;41;0.5;0.5
1;30;RandomWalkRobot;1;90;1;42;0.5;0.5
1;30;RandomWalkRobot;1;90;1;43;0.5;0.5
1;30;RandomWalkRobot;1;90;1;44;0.5;0.5
1;30;RandomWalkRobot;1;90;1;45;0.5;0.5
1;30;RandomWalkRobot;1;90;1;46;0.5;0.5
1;30;RandomWalkRobot;1;90;1;47;0.5;0.5
1;30;RandomWalkRobot;1;90;1;48;0.5;0.5
1;30;RandomWalkRobot;1;90;1;49;0.5;0.5
1;30;RandomWalkRobot;1;90;1;50;0.5;0.5
1;30;RandomWalkRobot;1;90;1;51;0.5;0.5
1;30;RandomWalkRobot;1;90;1;52;0.5;0.5
1;30;RandomWalkRobot;1;90;1;53;0.5;0.5
1;30;RandomWalkRobot;1;90;1;54;0.5;0.5
1;30;RandomWalkRobot;1;90;1;55;0.5;0.5
1;30;RandomWalkRobot;1;90;1;56;0.5;0.5
1;30;RandomWalkRobot;1;90;1;57;0.5;0.5
1;30;RandomWalkRobot;1;90;1;58;0.5;0.5
1;30;RandomWalkRobot;1;90;1;59;0.5;0.5
1;30;RandomWalkRobot;1;90;1;60;0.5;0.5
1;30;RandomWalkRobot;1;90;1;61;0.5;0.5
1;30;RandomWalkRobot;1;90;1;62;0.5;0.5
1;30;RandomWalkRobot;1;90;1;63;0.5;0.5
1;30;RandomWalkRobot;1;90;1;64;0.5;0.5
1;30;RandomWalkRobot;1;90;1;65;0.5;0.5
1;30;RandomWalkRobot;1;90;1;66;0.5;0.5
1;30;RandomWalkRobot;1;90;1;67;0.5;0.5
1;30;RandomWalkRobot;1;90;1;68;0.5;0.5
1;30;RandomWalkRobot;1;90;1;69;0.5;0.5
1;30;RandomWalkRobot;1;90;1;70;0.5;0.5
1;30;RandomWalkRobot;1;90;1;71;0.5;0.5
1;30;RandomWalkRobot;1;90;1;72;0.5;0.5
1;30;RandomWalkRobot;1;90;1;73;0.5;0.5
1;30;RandomWalkRobot;1;90;1;74;0.5;0.5
1;30;RandomWalkRobot;1;90;1;75;0.5;0.5
1;30;RandomWalkRobot;1;90;1;76;0.5;0.5
1;30;RandomWalkRobot;1;90;1;77;0.5;0.5
1;30;RandomWalkRobot;1;90;1;78;0.5;0.5
1;30;RandomWalkRobot;1;90;1;79;0.5;0.5
1;30;RandomWalkRobot;1;90;1;80;0.5;0.5
1;30;RandomWalkRobot;1;90;1;81;0.5;0.5
1;30;RandomWalkRobot;1;90;1;82;0.5;0.5
1;30;RandomWalkRobot;1;90;1;83;0.5;0.5
1;30;RandomWalkRobot;1;90;1;84;0.5;0.5
1;30;RandomWalkRobot;1;90;1;85;0.5;0.5
1;30;RandomWalkRobot;1;90;1;86;0.5;0.5
1;30;RandomWalkRobot;1;90;1;87;0.5;0.5
1;30;RandomWalkRobot;1;90;1;88;0.5;0.5
1;30;RandomWalkRobot;1;90;1;89;0.5;0.5
1;30;RandomWalkRobot;1;90;1;90;0.5;0.5
1;30;RandomWalkRobot;1;90;1;91;0.5;0.5
1;30;RandomWalkRobot;1;90;1;92;0.5;0.5
1;30;RandomWalkRobot;1;90;1;93;0.5;0.5
1;30;RandomWalkRobot;1;90;1;94;0.5;0.5
1;30;RandomWalkRobot;1;90;1;95;0.5;0.5
1;30;RandomWalkRobot;1;90;1;96;0.5;0.5
1;30;RandomWalkRobot;1;90;1;97;0.5;0.5
1;30;RandomWalkRobot;1;90;1;98;0.5;0.5
1;30;RandomWalkRobot;1;90;1;99;0.5;0.5
1;30;RandomWalkRobot;1;90;1;100;0.5;0.5
1;30;RandomWalkRobot;1;90;1;101;0.5;0.5
1;30;RandomWalkRobot;1;90;1;102;0.5;0.5
1;30;RandomWalkRobot;1;90;1;103;0.5;0.5
1;30;RandomWalkRobot;1;90;1;104;0.5;0.5
1;30;RandomWalkRobot;1;90;1;105;0.5;0.5
1;30;RandomWalkRobot;1;90;1;106;0.5;0.5
1;30;RandomWalkRobot;1;90;1;107;0.5;0.5
1;30;RandomWalkRobot;1;90;1;108;0.5;0.5
1;30;RandomWalkRobot;1;90;1;109;0.5;0.5
1;30;RandomWalkRobot;1;90;1;110;0.5;0.5
1;30;RandomWalkRobot;1;90;1;111;0.5;0.5
1;30;RandomWalkRobot;1;90;1;112;0.5;0.5
1;30;RandomWalkRobot;1;90;1;113;0.5;0.5
1;30;RandomWalkRobot;1;90;1;114;0.5;0.5
1;30;RandomWalkRobot;1;90;1;115;0.5;0.5
1;30;RandomWalkRobot;1;90;1;116;0.5;0.5
1;30;RandomWalkRobot;1;90;1;117;0.5;0.5
1;30;RandomWalkRobot;1;90;1;118;0.5;0.5
1;30;RandomWalkRobot;1;90;1;119;0.5;0.5
1;30;RandomWalkRobot;1;90;1;120;0.5;0.5
1;30;RandomWalkRobot;1;90;1;121;0.5;0.5
1;30;RandomWalkRobot;1;90;1;122;0.5;0.5
1;30;RandomWalkRobot;1;90;1;123;0.5;0.5
1;30;RandomWalkRobot;1;90;1;124;0.5;0.5
1;30;RandomWalkRobot;1;90;1;125;0.5;0.5
1;30;RandomWalkRobot;1;90;1;126;0.5;0.5
1;30;RandomWalkRobot;1;90;1;127;0.5;0.5
1;30;RandomWalkRobot;1;90;1;128;0.5;0.5
1;30;RandomWalkRobot;1;90;1;129;0.5;0.5
1;30;RandomWalkRobot;1;90;1;130;0.5;0.5
1;30;RandomWalkRobot;1;90;1;131;0.5;0.5
1;30;RandomWalkRobot;1;90;1;132;0.5;0.5
1;30;RandomWalkRobot;1;90;1;133;0.5;0.5
1;30;RandomWalkRobot;1;90;1;134;0.5;0.5
1;30;RandomWalkRobot;1;90;1;135;0.5;0.5
1;30;RandomWalkRobot;1;90;1;136;0.5;0.5
1;30;RandomWalkRobot;1;90;1;137;0.5;0.5
1;30;RandomWalkRobot;1;90;1;138;0.5;0.5
1;30;RandomWalkRobot;1;90;1;139;0.5;0.5
1;30;RandomWalkRobot;1;90;1;140;0.5;0.5
1;30;RandomWalkRobot;1;90;1;141;0.5;0.5
1;30;RandomWalkRobot;1;90;1;142;0.5;0.5
1;30;RandomWalkRobot;1;90;1;143;0.5;0.5
1;30;RandomWalkRobot;1;90;1;144;0.5;0.5
1;30;RandomWalkRobot;1;90;1;145;0.5;0.5
1;30;RandomWalkRobot;1;90;1;146;0.5;0.5
1;30;RandomWalkRobot;1;90;1;147;0.5;0.5
1;30;RandomWalkRobot;1;90;1;148;0.5;0.5
1;30;RandomWalkRobot;1;90;1;149;0.5;0.5
1;30;RandomWalkRobot;1;90;1;150;0.5;0.5
1;30;RandomWalkRobot;1;90;1;151;0.5;0.5
1;30;RandomWalkRobot;1;90;1;152;0.5;0.5
1;30;RandomWalkRobot;1;90;1;153;0.5;0.5
1;30;RandomWalkRobot;1;90;1;154;0.5;0.5
1;30;RandomWalkRobot;1;90;1;155;0.5;0.5
1;30;RandomWalkRobot;1;90;1;156;0.5;0.5
1;30;RandomWalkRobot;1;90;1;157;0.5;0.5
1;30;RandomWalkRobot;1;90;1;158;0.5;0.5
1;30;RandomWalkRobot;1;90;1;159;0.5;0.5
1;30;RandomWalkRobot;1;90;1;160;0.5;0.5
1;30;RandomWalkRobot;1;90;1;161;0.5;0.5
1;30;RandomWalkRobot;1;90;1;162;0.5;0.5
1;30;RandomWalkRobot;1;90;1;163;0.5;0.5
1;30;RandomWalkRobot;1;90;1;164;0.5;0.5
1;30;RandomWalkRobot;1;90;1;165;0.5;0.5
1;30;RandomWalkRobot;1;90;1;166;0.5;0.5
1;30;RandomWalkRobot;1;90;1;167;0.5;0.5
1;30;RandomWalkRobot;1;90;1;168;0.5;0.5
1;30;RandomWalkRobot;1;90;1;169;0.5;0.5
1;30;RandomWalkRobot;1;90;1;170;0.5;0.5
1;30;RandomWalkRobot;1;90;1;171;0.5;0.5
1;30;RandomWalkRobot;1;90;1;172;0.5;0.5
1;30;RandomWalkRobot;1;90;1;173;0.5;0.5
1;30;RandomWalkRobot;1;90;1;174;0.5;0.5
1;30;RandomWalkRobot;1;90;1;175;0.5;0.5
1;30;RandomWalkRobot;1;90;1;176;0.5;0.5
1;30;RandomWalkRobot;1;90;1;177;0.5;0.5
1;30;RandomWalkRobot;1;90;1;178;0.5;0.5
1;30;RandomWalkRobot;1;90;1;179;0.5;0.5
1;30;RandomWalkRobot;1;90;1;180;0.5;0.5
1;30;RandomWalkRobot;1;90;1;181;0.5;0.5
1;30;RandomWalkRobot;1;90;1;182;0.5;0.5
1;30;RandomWalkRobot;1;90;1;183;0.5;0.5
1;30;RandomWalkRobot;1;90;1;184;0.5;0.5
1;30;RandomWalkRobot;1;90;1;185;0.5;0.5
1;30;RandomWalkRobot;1;90;1;186;0.5;0.5
1;30;RandomWalkRobot;1;90;1;187;0.5;0.5
1;30;RandomWalkRobot;1;90;1;188;0.5;0.5
1;30;RandomWalkRobot;1;90;1;189;0.5;0.5
1;30;RandomWalkRobot;1;90;1;190;0.5;0.5
1;30;RandomWalkRobot;1;90;1;191;0.5;0.5
1;30;RandomWalkRobot;1;90;1;192;0.5;0.5
1;30;RandomWalkRobot;1;90;1;193;0.5;0.5
1;30;RandomWalkRobot;1;90;1;194;0.5;0.5
1;30;RandomWalkRobot;1;90;1;195;0.5;0.5
1;30;RandomWalkRobot;1;90;1;196;0.5;0.5
1;30;RandomWalkRobot;1;90;1;197;0.5;0.5
1;30;RandomWalkRobot;1;90;1;198;0.5;0.5
1;30;RandomWalkRobot;1;90;1;199;0.5;0.5
1;30;RandomWalkRobot;1;90;1;200;0.5;0.5
