RunId;iteration;Step;initial_no_robots;grid_size;robot_type_str;view_radius;view_angle;seed;factor_distance;factor_size;Explored;Explored_fields;Step_Count_All_Agents
1;0;0;1;40;RandomWalkRobot;1;45;1;1.0;0.1;0.0;0;0
1;0;25;1;40;RandomWalkRobot;1;45;1;1.0;0.1;1.5654351909830932;25;21
1;0;50;1;40;RandomWalkRobot;1;45;1;1.0;0.1;2.0663744520976834;33;42
1;0;75;1;40;RandomWalkRobot;1;45;1;1.0;0.1;2.817783343769568;45;59
1;0;100;1;40;RandomWalkRobot;1;45;1;1.0;0.1;3.5065748278021287;56;82
1;0;125;1;40;RandomWalkRobot;1;45;1;1.0;0.1;3.9448966812773953;63;99
1;0;150;1;40;RandomWalkRobot;1;45;1;1.0;0.1;6.073888541014402;97;121
1;0;175;1;40;RandomWalkRobot;1;45;1;1.0;0.1;7.326236693800876;117;140
1;0;200;1;40;RandomWalkRobot;1;45;1;1.0;0.1;8.829054477144647;141;160
1;0;225;1;40;RandomWalkRobot;1;45;1;1.0;0.1;9.768315591734503;156;180
1;0;250;1;40;RandomWalkRobot;1;45;1;1.0;0.1;11.208515967438949;179;200
1;0;275;1;40;RandomWalkRobot;1;45;1;1.0;0.1;11.772072636192862;188;221
1;0;300;1;40;RandomWalkRobot;1;45;1;1.0;0.1;12.58609893550407;201;239
1;0;325;1;40;RandomWalkRobot;1;45;1;1.0;0.1;12.648716343143393;202;255
1;0;350;1;40;RandomWalkRobot;1;45;1;1.0;0.1;13.149655604257985;210;275
1;0;375;1;40;RandomWalkRobot;1;45;1;1.0;0.1;13.713212273011896;219;297
1;0;400;1;40;RandomWalkRobot;1;45;1;1.0;0.1;13.963681903569192;223;317
1;0;425;1;40;RandomWalkRobot;1;45;1;1.0;0.1;14.026299311208515;224;339
1;0;450;1;40;RandomWalkRobot;1;45;1;1.0;0.1;14.026299311208515;224;361
1;0;475;1;40;RandomWalkRobot;1;45;1;1.0;0.1;14.026299311208515;224;381
1;0;500;1;40;RandomWalkRobot;1;45;1;1.0;0.1;14.026299311208515;224;403
1;0;525;1;40;RandomWalkRobot;1;45;1;1.0;0.1;14.27676894176581;228;422
