RunId;iteration;Step;initial_no_robots;grid_size;robot_type_str;view_radius;view_angle;seed;factor_distance;factor_size;Explored;Explored_fields;Step_Count_All_Agents
1;0;0;1;40;RandomWalkRobot;1;45;13;1.0;0.1;0.0;0;0
1;0;25;1;40;RandomWalkRobot;1;45;13;1.0;0.1;2.3779724655819776;38;15
1;0;50;1;40;RandomWalkRobot;1;45;13;1.0;0.1;3.629536921151439;58;33
1;0;75;1;40;RandomWalkRobot;1;45;13;1.0;0.1;4.693366708385482;75;49
1;0;100;1;40;RandomWalkRobot;1;45;13;1.0;0.1;5.444305381727159;87;69
1;0;125;1;40;RandomWalkRobot;1;45;13;1.0;0.1;6.9461827284105135;111;85
1;0;150;1;40;RandomWalkRobot;1;45;13;1.0;0.1;7.88485607008761;126;108
1;0;175;1;40;RandomWalkRobot;1;45;13;1.0;0.1;9.0738423028786;145;128
1;0;200;1;40;RandomWalkRobot;1;45;13;1.0;0.1;9.198998748435544;147;146
1;0;225;1;40;RandomWalkRobot;1;45;13;1.0;0.1;9.51188986232791;152;165
1;0;250;1;40;RandomWalkRobot;1;45;13;1.0;0.1;9.824780976220275;157;184
1;0;275;1;40;RandomWalkRobot;1;45;13;1.0;0.1;11.389236545682103;182;205
1;0;300;1;40;RandomWalkRobot;1;45;13;1.0;0.1;12.57822277847309;201;221
1;0;325;1;40;RandomWalkRobot;1;45;13;1.0;0.1;13.829787234042554;221;239
1;0;350;1;40;RandomWalkRobot;1;45;13;1.0;0.1;15.331664580725906;245;258
1;0;375;1;40;RandomWalkRobot;1;45;13;1.0;0.1;16.708385481852314;267;278
1;0;400;1;40;RandomWalkRobot;1;45;13;1.0;0.1;17.146433041301627;274;294
1;0;425;1;40;RandomWalkRobot;1;45;13;1.0;0.1;18.085106382978726;289;311
1;0;450;1;40;RandomWalkRobot;1;45;13;1.0;0.1;19.336670838548184;309;331
1;0;475;1;40;RandomWalkRobot;1;45;13;1.0;0.1;20.02503128911139;320;351
1;0;500;1;40;RandomWalkRobot;1;45;13;1.0;0.1;20.40050062578223;326;367
1;0;525;1;40;RandomWalkRobot;1;45;13;1.0;0.1;21.026282853566958;336;390
1;0;550;1;40;RandomWalkRobot;1;45;13;1.0;0.1;21.526908635794744;344;405
1;0;575;1;40;RandomWalkRobot;1;45;13;1.0;0.1;22.090112640801003;353;425
1;0;600;1;40;RandomWalkRobot;1;45;13;1.0;0.1;22.152690863579476;354;447
1;0;625;1;40;RandomWalkRobot;1;45;13;1.0;0.1;22.778473091364205;364;467
1;0;650;1;40;RandomWalkRobot;1;45;13;1.0;0.1;22.966207759699625;367;489
1;0;675;1;40;RandomWalkRobot;1;45;13;1.0;0.1;23.153942428035045;370;509
1;0;700;1;40;RandomWalkRobot;1;45;13;1.0;0.1;23.46683354192741;375;522
1;0;725;1;40;RandomWalkRobot;1;45;13;1.0;0.1;23.46683354192741;375;536
1;0;750;1;40;RandomWalkRobot;1;45;13;1.0;0.1;23.90488110137672;382;557
1;0;775;1;40;RandomWalkRobot;1;45;13;1.0;0.1;24.6558197747184;394;579
1;0;800;1;40;RandomWalkRobot;1;45;13;1.0;0.1;25.15644555694618;402;596
1;0;825;1;40;RandomWalkRobot;1;45;13;1.0;0.1;25.219023779724658;403;618
1;0;850;1;40;RandomWalkRobot;1;45;13;1.0;0.1;26.095118898623284;417;636
1;0;875;1;40;RandomWalkRobot;1;45;13;1.0;0.1;26.72090112640801;427;656
1;0;900;1;40;RandomWalkRobot;1;45;13;1.0;0.1;27.34668335419274;437;673
1;0;925;1;40;RandomWalkRobot;1;45;13;1.0;0.1;27.909887359198997;446;691
1;0;950;1;40;RandomWalkRobot;1;45;13;1.0;0.1;28.848560700876096;461;711
1;0;975;1;40;RandomWalkRobot;1;45;13;1.0;0.1;29.97496871088861;479;726
1;0;1000;1;40;RandomWalkRobot;1;45;13;1.0;0.1;30.78848560700876;492;740
2;0;0;1;40;RandomWalkRobot;1;45;13;1.0;0.25;0.0;0;0
2;0;25;1;40;RandomWalkRobot;1;45;13;1.0;0.25;2.3779724655819776;38;15
2;0;50;1;40;RandomWalkRobot;1;45;13;1.0;0.25;3.629536921151439;58;33
2;0;75;1;40;RandomWalkRobot;1;45;13;1.0;0.25;4.693366708385482;75;49
2;0;100;1;40;RandomWalkRobot;1;45;13;1.0;0.25;5.444305381727159;87;69
2;0;125;1;40;RandomWalkRobot;1;45;13;1.0;0.25;6.9461827284105135;111;85
2;0;150;1;40;RandomWalkRobot;1;45;13;1.0;0.25;7.88485607008761;126;108
2;0;175;1;40;RandomWalkRobot;1;45;13;1.0;0.25;9.0738423028786;145;128
2;0;200;1;40;RandomWalkRobot;1;45;13;1.0;0.25;9.198998748435544;147;146
2;0;225;1;40;RandomWalkRobot;1;45;13;1.0;0.25;9.51188986232791;152;165
2;0;250;1;40;RandomWalkRobot;1;45;13;1.0;0.25;9.824780976220275;157;184
2;0;275;1;40;RandomWalkRobot;1;45;13;1.0;0.25;11.389236545682103;182;205
2;0;300;1;40;RandomWalkRobot;1;45;13;1.0;0.25;12.57822277847309;201;221
2;0;325;1;40;RandomWalkRobot;1;45;13;1.0;0.25;13.829787234042554;221;239
2;0;350;1;40;RandomWalkRobot;1;45;13;1.0;0.25;15.331664580725906;245;258
2;0;375;1;40;RandomWalkRobot;1;45;13;1.0;0.25;16.708385481852314;267;278
2;0;400;1;40;RandomWalkRobot;1;45;13;1.0;0.25;17.146433041301627;274;294
2;0;425;1;40;RandomWalkRobot;1;45;13;1.0;0.25;18.085106382978726;289;311
2;0;450;1;40;RandomWalkRobot;1;45;13;1.0;0.25;19.336670838548184;309;331
2;0;475;1;40;RandomWalkRobot;1;45;13;1.0;0.25;20.02503128911139;320;351
2;0;500;1;40;RandomWalkRobot;1;45;13;1.0;0.25;20.40050062578223;326;367
2;0;525;1;40;RandomWalkRobot;1;45;13;1.0;0.25;21.026282853566958;336;390
2;0;550;1;40;RandomWalkRobot;1;45;13;1.0;0.25;21.526908635794744;344;405
2;0;575;1;40;RandomWalkRobot;1;45;13;1.0;0.25;22.090112640801003;353;425
2;0;600;1;40;RandomWalkRobot;1;45;13;1.0;0.25;22.152690863579476;354;447
2;0;625;1;40;RandomWalkRobot;1;45;13;1.0;0.25;22.778473091364205;364;467
2;0;650;1;40;RandomWalkRobot;1;45;13;1.0;0.25;22.966207759699625;367;489
2;0;675;1;40;RandomWalkRobot;1;45;13;1.0;0.25;23.153942428035045;370;509
2;0;700;1;40;RandomWalkRobot;1;45;13;1.0;0.25;23.46683354192741;375;522
2;0;725;1;40;RandomWalkRobot;1;45;13;1.0;0.25;23.46683354192741;375;536
2;0;750;1;40;RandomWalkRobot;1;45;13;1.0;0.25;23.90488110137672;382;557
2;0;775;1;40;RandomWalkRobot;1;45;13;1.0;0.25;24.6558197747184;394;579
2;0;800;1;40;RandomWalkRobot;1;45;13;1.0;0.25;25.15644555694618;402;596
2;0;825;1;40;RandomWalkRobot;1;45;13;1.0;0.25;25.219023779724658;403;618
2;0;850;1;40;RandomWalkRobot;1;45;13;1.0;0.25;26.095118898623284;417;636
2;0;875;1;40;RandomWalkRobot;1;45;13;1.0;0.25;26.72090112640801;427;656
2;0;900;1;40;RandomWalkRobot;1;45;13;1.0;0.25;27.34668335419274;437;673
2;0;925;1;40;RandomWalkRobot;1;45;13;1.0;0.25;27.909887359198997;446;691
2;0;950;1;40;RandomWalkRobot;1;45;13;1.0;0.25;28.848560700876096;461;711
2;0;975;1;40;RandomWalkRobot;1;45;13;1.0;0.25;29.97496871088861;479;726
2;0;1000;1;40;RandomWalkRobot;1;45;13;1.0;0.25;30.78848560700876;492;740
0;0;0;1;40;RandomWalkRobot;1;45;13;1.0;0.0;0.0;0;0
0;0;25;1;40;RandomWalkRobot;1;45;13;1.0;0.0;2.3779724655819776;38;15
0;0;50;1;40;RandomWalkRobot;1;45;13;1.0;0.0;3.629536921151439;58;33
0;0;75;1;40;RandomWalkRobot;1;45;13;1.0;0.0;4.693366708385482;75;49
0;0;100;1;40;RandomWalkRobot;1;45;13;1.0;0.0;5.444305381727159;87;69
0;0;125;1;40;RandomWalkRobot;1;45;13;1.0;0.0;6.9461827284105135;111;85
0;0;150;1;40;RandomWalkRobot;1;45;13;1.0;0.0;7.88485607008761;126;108
0;0;175;1;40;RandomWalkRobot;1;45;13;1.0;0.0;9.0738423028786;145;128
0;0;200;1;40;RandomWalkRobot;1;45;13;1.0;0.0;9.198998748435544;147;146
0;0;225;1;40;RandomWalkRobot;1;45;13;1.0;0.0;9.51188986232791;152;165
0;0;250;1;40;RandomWalkRobot;1;45;13;1.0;0.0;9.824780976220275;157;184
0;0;275;1;40;RandomWalkRobot;1;45;13;1.0;0.0;11.389236545682103;182;205
0;0;300;1;40;RandomWalkRobot;1;45;13;1.0;0.0;12.57822277847309;201;221
0;0;325;1;40;RandomWalkRobot;1;45;13;1.0;0.0;13.829787234042554;221;239
0;0;350;1;40;RandomWalkRobot;1;45;13;1.0;0.0;15.331664580725906;245;258
0;0;375;1;40;RandomWalkRobot;1;45;13;1.0;0.0;16.708385481852314;267;278
0;0;400;1;40;RandomWalkRobot;1;45;13;1.0;0.0;17.146433041301627;274;294
0;0;425;1;40;RandomWalkRobot;1;45;13;1.0;0.0;18.085106382978726;289;311
