RunId;iteration;Step;initial_no_robots;grid_size;robot_type_str;view_radius;view_angle;seed;factor_distance;factor_size;Explored;Explored_fields;Step_Count_All_Agents
1;0;0;1;40;RandomWalkRobot;1;45;24;1.0;0.1;0.0;0;0
1;0;25;1;40;RandomWalkRobot;1;45;24;1.0;0.1;2500.0;25;23
1;0;50;1;40;RandomWalkRobot;1;45;24;1.0;0.1;3100.0;31;44
1;0;75;1;40;RandomWalkRobot;1;45;24;1.0;0.1;6100.0;61;65
1;0;100;1;40;RandomWalkRobot;1;45;24;1.0;0.1;8500.0;85;90
1;0;125;1;40;RandomWalkRobot;1;45;24;1.0;0.1;9400.0;94;113
1;0;150;1;40;RandomWalkRobot;1;45;24;1.0;0.1;10000.0;100;137
1;0;175;1;40;RandomWalkRobot;1;45;24;1.0;0.1;12100.0;121;156
1;0;200;1;40;RandomWalkRobot;1;45;24;1.0;0.1;14000.0;140;177
1;0;225;1;40;RandomWalkRobot;1;45;24;1.0;0.1;14200.0;142;196
1;0;250;1;40;RandomWalkRobot;1;45;24;1.0;0.1;14200.0;142;220
1;0;275;1;40;RandomWalkRobot;1;45;24;1.0;0.1;14600.0;146;242
1;0;300;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15300.0;153;264
1;0;325;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15300.0;153;287
1;0;350;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15400.0;154;309
1;0;375;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;333
1;0;400;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;356
1;0;425;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;376
1;0;450;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;400
1;0;475;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;420
1;0;500;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;439
1;0;525;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;462
1;0;550;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;484
1;0;575;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;503
1;0;600;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;527
1;0;625;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;550
1;0;650;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;572
1;0;675;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;594
1;0;700;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;616
1;0;725;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;638
1;0;750;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15500.0;155;661
1;0;775;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;682
1;0;800;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;704
1;0;825;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;726
1;0;850;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;747
1;0;875;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;770
1;0;900;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;794
1;0;925;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;817
1;0;950;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;840
1;0;975;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;864
1;0;1000;1;40;RandomWalkRobot;1;45;24;1.0;0.1;15600.0;156;887
2;0;0;1;40;RandomWalkRobot;1;45;24;1.0;0.25;0.0;0;0
2;0;25;1;40;RandomWalkRobot;1;45;24;1.0;0.25;2500.0;25;23
2;0;50;1;40;RandomWalkRobot;1;45;24;1.0;0.25;3100.0;31;44
2;0;75;1;40;RandomWalkRobot;1;45;24;1.0;0.25;6100.0;61;65
2;0;100;1;40;RandomWalkRobot;1;45;24;1.0;0.25;8500.0;85;90
2;0;125;1;40;RandomWalkRobot;1;45;24;1.0;0.25;9400.0;94;113
2;0;150;1;40;RandomWalkRobot;1;45;24;1.0;0.25;10000.0;100;137
2;0;175;1;40;RandomWalkRobot;1;45;24;1.0;0.25;12100.0;121;156
2;0;200;1;40;RandomWalkRobot;1;45;24;1.0;0.25;14000.0;140;177
2;0;225;1;40;RandomWalkRobot;1;45;24;1.0;0.25;14200.0;142;196
2;0;250;1;40;RandomWalkRobot;1;45;24;1.0;0.25;14200.0;142;220
2;0;275;1;40;RandomWalkRobot;1;45;24;1.0;0.25;14600.0;146;242
2;0;300;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15300.0;153;264
2;0;325;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15300.0;153;287
2;0;350;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15400.0;154;309
2;0;375;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;333
2;0;400;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;356
2;0;425;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;376
2;0;450;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;400
2;0;475;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;420
2;0;500;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;439
2;0;525;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;462
2;0;550;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;484
2;0;575;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;503
2;0;600;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;527
2;0;625;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;550
2;0;650;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;572
2;0;675;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;594
2;0;700;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;616
2;0;725;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;638
2;0;750;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15500.0;155;661
2;0;775;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;682
2;0;800;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;704
2;0;825;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;726
2;0;850;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;747
2;0;875;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;770
2;0;900;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;794
2;0;925;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;817
2;0;950;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;840
2;0;975;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;864
2;0;1000;1;40;RandomWalkRobot;1;45;24;1.0;0.25;15600.0;156;887
0;0;0;1;40;RandomWalkRobot;1;45;24;1.0;0.0;0.0;0;0
0;0;25;1;40;RandomWalkRobot;1;45;24;1.0;0.0;2500.0;25;23
0;0;50;1;40;RandomWalkRobot;1;45;24;1.0;0.0;3100.0;31;44
0;0;75;1;40;RandomWalkRobot;1;45;24;1.0;0.0;6100.0;61;65
0;0;100;1;40;RandomWalkRobot;1;45;24;1.0;0.0;8500.0;85;90
0;0;125;1;40;RandomWalkRobot;1;45;24;1.0;0.0;9400.0;94;113
0;0;150;1;40;RandomWalkRobot;1;45;24;1.0;0.0;10000.0;100;137
0;0;175;1;40;RandomWalkRobot;1;45;24;1.0;0.0;12100.0;121;156
0;0;200;1;40;RandomWalkRobot;1;45;24;1.0;0.0;14000.0;140;177
0;0;225;1;40;RandomWalkRobot;1;45;24;1.0;0.0;14200.0;142;196
0;0;250;1;40;RandomWalkRobot;1;45;24;1.0;0.0;14200.0;142;220
0;0;275;1;40;RandomWalkRobot;1;45;24;1.0;0.0;14600.0;146;242
0;0;300;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15300.0;153;264
0;0;325;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15300.0;153;287
0;0;350;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15400.0;154;309
0;0;375;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;333
0;0;400;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;356
0;0;425;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;376
0;0;450;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;400
0;0;475;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;420
0;0;500;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;439
0;0;525;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;462
0;0;550;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;484
0;0;575;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;503
0;0;600;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;527
0;0;625;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;550
0;0;650;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;572
0;0;675;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;594
0;0;700;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;616
0;0;725;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;638
0;0;750;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15500.0;155;661
0;0;775;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;682
0;0;800;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;704
0;0;825;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;726
0;0;850;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;747
0;0;875;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;770
0;0;900;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;794
0;0;925;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;817
0;0;950;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;840
0;0;975;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;864
0;0;1000;1;40;RandomWalkRobot;1;45;24;1.0;0.0;15600.0;156;887
12;0;0;1;40;RandomWalkRobot;2;45;24;1.0;0.0;0.0;0;0
12;0;25;1;40;RandomWalkRobot;2;45;24;1.0;0.0;6600.0;66;23
12;0;50;1;40;RandomWalkRobot;2;45;24;1.0;0.0;8100.0;81;44
12;0;75;1;40;RandomWalkRobot;2;45;24;1.0;0.0;14200.0;142;65
12;0;100;1;40;RandomWalkRobot;2;45;24;1.0;0.0;20900.0;209;90
12;0;125;1;40;RandomWalkRobot;2;45;24;1.0;0.0;22700.0;227;113
12;0;150;1;40;RandomWalkRobot;2;45;24;1.0;0.0;23600.0;236;137
12;0;175;1;40;RandomWalkRobot;2;45;24;1.0;0.0;27600.0;276;156
12;0;200;1;40;RandomWalkRobot;2;45;24;1.0;0.0;29100.0;291;177
