factor_size;factor_distance;view_angle;view_radius;robot_type_str;grid_size;initial_no_robots;Step;Explored_min;Explored_max;Explored_mean;Explored_median;Explored_std;Explored_fields_min;Explored_fields_max;Explored_fields_mean;Explored_fields_median;Explored_fields_std;Step_Count_All_Agents_min;Step_Count_All_Agents_max;Step_Count_All_Agents_mean;Step_Count_All_Agents_median;Step_Count_All_Agents_std
0.0;1.0;45;1;FBERobot;40;1;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
0.0;1.0;45;1;FBERobot;40;1;25;1.5;1.875;1.6875;1.6875;0.0806871530459878;24;30;27.0;27.0;1.2909944487358045;7;9;8.0;8.0;0.4999999999999999
0.0;1.0;45;1;FBERobot;40;1;50;2.75;3.3125;3.035;3.0625;0.1302041665999978;44;53;48.56;49.0;2.083266665599965;16;19;17.92;18.0;0.9092121131323899
0.0;1.0;45;1;FBERobot;40;1;75;3.75;4.75;4.345;4.375;0.20972452169453143;60;76;69.52;70.0;3.355592347112503;26;32;28.44;28.0;1.6350331291240958
0.0;1.0;45;1;FBERobot;40;1;100;4.9375;6.125;5.6225;5.6875;0.2821051813301794;79;98;89.96;91.0;4.513682901282871;35;46;39.36;39.0;2.8413611761501443
0.0;1.0;45;1;FBERobot;40;1;125;6.0625;7.5625;6.905;6.937500000000001;0.3433330805015247;97;121;110.48;111.0;5.4933292880244;45;56;50.12;50.0;3.0594117081556713
0.0;1.0;45;1;FBERobot;40;1;150;7.249999999999999;8.875;8.22;8.3125;0.4281440080938501;116;142;131.52;133.0;6.850304129501601;55;67;60.8;60.0;3.7859388972001833
0.0;1.0;45;1;FBERobot;40;1;175;8.5625;10.1875;9.51;9.625;0.5089306599790061;137;163;152.16;154.0;8.142890559664098;64;91;72.32;70.0;6.593683846429602
0.0;1.0;45;1;FBERobot;40;1;200;9.9375;11.6875;10.805;10.875;0.467818518943689;159;187;172.88;174.0;7.485096303099024;75;103;83.64;81.0;6.619919435562137
0.0;1.0;45;1;FBERobot;40;1;225;11.3125;12.937499999999998;12.09;12.125;0.4848217026220394;181;207;193.44;194.0;7.757147241952634;85;112;94.4;92.0;6.664583007710734
0.0;1.0;45;1;FBERobot;40;1;250;12.375;14.249999999999998;13.3975;13.4375;0.5247395187138096;198;228;214.36;215.0;8.395832299420947;95;122;105.2;104.0;6.670832032063167
0.0;1.0;45;1;FBERobot;40;1;275;13.6875;15.562500000000002;14.68;14.625;0.5538454582883813;219;249;234.88;234.0;8.861527332614092;105;130;116.2;117.0;6.448514040717697
0.0;1.0;45;1;FBERobot;40;1;300;14.5625;16.75;15.855;15.937499999999998;0.5867792564783909;233;268;253.68;255.0;9.388468103654255;116;142;128.48;127.0;6.746109990209174
0.0;1.0;45;1;FBERobot;40;1;325;15.0;18.125;17.075;17.125;0.7686483672655526;240;290;273.2;274.0;12.298373876248837;125;162;139.96;137.0;8.676981041814031
0.0;1.0;45;1;FBERobot;40;1;350;16.5;19.5;18.3425;18.5;0.7482879765393358;264;312;293.48;296.0;11.972607624629372;134;172;150.96;150.0;8.67698104181403
0.0;1.0;45;1;FBERobot;40;1;375;17.4375;20.9375;19.53;19.5625;0.8379662881047188;279;335;312.48;313.0;13.407460609675502;144;187;162.92;163.0;9.962094826557983
0.0;1.0;45;1;FBERobot;40;1;400;18.9375;21.875;20.765;20.9375;0.8147564820239236;303;350;332.24;335.0;13.036103712382777;157;200;174.08;173.0;10.070253224224302
0.0;1.0;45;1;FBERobot;40;1;425;20.25;23.125;21.9525;22.125;0.7589054618330273;324;370;351.24;354.0;12.142487389328437;172;210;186.36;183.0;10.38781337272992
